account_id;in_degree;out_degree;total_in;ratio;avg_retention_hours;probabilidade_fraude;predicao_classe;is_fraud_real;role;total_out
acc011297;4;1;16560,47;0,01976029680299122;-1041,0929861111467;0,0025870083;0;0;Honest;327,24
acc031078;1;1;2055,54;0,9162122059789349;-1171,9388888888889;0,0025291545;0;0;Honest;1883,32
acc009529;3;3;3189,35;1,7879072917450523;322,76759259271114;0,0018110806;0;0;Honest;5702,28
acc037299;1;3;117,24;25,70422174840085;-318,30453703701335;0,0014694226;0;0;Honest;3013,8199999999997
acc010015;3;1;5717,83;0,08051292096316091;457,47648148145777;0,0030887362;0;0;Honest;460,36
acc020303;1;6;9943,32;3,3171472735994882;-121,70300925930665;0,003571668;0;0;Honest;32983,49
acc016512;4;2;11744,9;0,7529236069071624;43,745902777813335;0,00994181;0;0;Honest;8843,02
acc034536;3;1;5521,39;0,32393595827145283;610,7143518518756;0,0027270839;0;0;Honest;1788,58
acc016343;3;1;5234,4;1,374473913965471;468,9566666667378;0,004911685;0;0;Honest;7194,56
acc015305;4;3;12992,09;0,7467460995528051;-5,366643518506667;0,0056611216;0;0;Honest;9701,8
acc023623;2;0;2539,44;0,0;0,0;0,0023020545;0;0;Honest;0,0
acc035765;4;3;5895,78;0,43530044319760375;-292,58937500003555;0,0032327257;0;0;Honest;2566,44
acc022355;3;2;5060,26;0,6518426882360031;210,11342592597333;0,00327241;0;0;Honest;3298,5
acc044971;1;1;10660,41;0,15453143497160524;1578,0916666666667;0,0049828156;0;0;Honest;1647,37
acc024060;2;1;1747,61;1,0457822638788754;407,80930555555557;0,0022250526;0;0;Honest;1827,63
acc040486;2;4;13970,52;0,26974424019704335;-305,90590277781337;0,008522932;0;0;Honest;3768,4700000000003
acc028420;6;3;16709,11;0,4290004500536234;-276,1843518518044;0,016584676;0;0;Honest;7168,219999999999
acc009713;2;1;4002,58;0,42949690075675995;250,0323611111111;0,0043841847;0;0;Honest;1719,1
acc014521;3;2;4756,56;0,9658703645694269;-59,16421296298666;0,0025387711;0;0;Honest;4594,23
acc004768;1;3;1451,57;22,523085189930974;-424,74398148152886;0,0010410447;0;0;Honest;32694,06
acc025396;2;2;1962,0300000000002;7,493032761819331;-426,9176388888889;0,0010410447;0;0;Honest;14701,630000000001
acc042361;3;5;3513,29;1,8930350382830958;-434,67577777784885;0,0026347872;0;0;Honest;6650,800000000001
acc011915;1;2;1053,22;1,0373517655213012;1116,401388888889;0,0027212854;0;0;Honest;1092,57
acc027421;1;1;868,75;1,3497168377917952;-768,85;0,0019792384;0;0;Honest;1172,58
acc044402;6;1;8054,549999999999;0,2568694006873125;950,8054166666667;0,004277114;0;0;Honest;2068,97
acc016673;3;3;2264,0;2,3770566384424097;68,64527777777778;0,0011880192;0;0;Honest;5381,68
acc006945;4;2;6341,2;0,31434536941687785;-183,46868055552;0,003926341;0;0;Honest;1993,33
acc012864;3;2;4564,29;0,7303113292290164;228,6400925925689;0,0034452623;0;0;Honest;3333,3599999999997
acc022358;1;1;1738,03;0,6404398057582104;812,0958333333333;0,003153038;0;0;Honest;1113,11
acc023450;1;1;2214,34;0,18764874568157694;-707,2944444444445;0,003258761;0;0;Honest;415,52
acc003466;4;2;3787,77;0,5314115392129426;145,11097222222222;0,0023864633;0;0;Honest;2012,87
acc033940;16;5;386557,83;0,013413749414576613;17,725718750008888;0,99259865;1;1;Boss;5185,1900000000005
acc037336;2;1;4785,47;0,8181812482760349;143,58055555555555;0,0028883144;0;0;Honest;3915,39
acc036562;3;6;23140,31;1,630857308801261;106,93162037034666;0,015732333;0;0;Honest;37738,56
acc017350;3;2;8063,08;0,6242209872393835;291,21185185187556;0,0039877435;0;0;Honest;5033,150000000001
acc009885;4;1;10734,92;0,14415371129574203;243,38486111111112;0,002092253;0;0;Honest;1547,48
acc033258;0;3;0,0;0,0;9999,0;0,0023856927;0;0;Honest;14158,41
acc000248;6;1;13472,96;0,46924174847862055;-565,6248148147911;0,0045528426;0;0;Honest;6322,08
acc001918;0;1;0,0;0,0;9999,0;0,0023856927;0;0;Honest;1752,33
acc040989;3;1;4442,91;0,29695560577278;432,83574074076444;0,003110636;0;0;Honest;1319,35
acc035260;1;3;1021,34;39,23935967102364;45,44370370368;0,0011800004;0;0;Honest;40077,119999999995
acc009620;1;4;420,23;61,04166666666666;415,0776388888889;0,0014545663;0;0;Honest;25652,149999999998
acc013581;4;5;7830,07;1,0769749478932527;361,1535416667022;0,007140412;0;0;Honest;8432,8
acc024010;9;7;146980,84;0,799738741475505;172,99615961194667;0,99259865;1;1;Mule;117546,28
acc010439;3;6;8503,68;7,406191900222139;-365,2228703703467;0,0035170822;0;0;Honest;62979,96000000001
acc026473;3;3;11746,900000000001;1,0484433778755433;-243,14342592597333;0,0071932096;0;0;Honest;12315,97
acc021271;3;1;11721,31;0,029956523667982786;1205,867592592569;0,006458143;0;0;Honest;351,13
acc014398;4;2;4458,63;1,135590673389195;-578,9190972222578;0,0031609582;0;0;Honest;5063,1900000000005
acc043487;5;3;6975,9800000000005;0,5631745458350713;-94,40162962958222;0,003314076;0;0;Honest;3928,7
acc044917;4;3;14572,87;1,9425583686958239;217,40425925923557;0,003502375;0;0;Honest;28308,67
acc041464;9;9;206617,25;0,8833141045428634;-31,076450617244447;0,99259865;1;1;Mule;182507,94
acc010075;24;2;392412,71;0,006910912571845276;-228,79775462961777;0,99259865;1;1;Boss;2711,9300000000003
acc027960;3;3;5241,7;2,966392646674463;-230,4611111111111;0,0028538338;0;0;Honest;15548,97
acc002905;1;1;1214,53;1,1353104879213531;766,0041666666667;0,002921227;0;0;Honest;1378,88
acc034958;1;3;11705,95;1,1960684984401107;-521,3685185184711;0,0076333405;0;0;Honest;14001,13
acc012471;3;1;15343,31;0,6045849268606794;-83,44972222215111;0,007520682;0;0;Honest;9276,34
acc007016;1;2;1321,12;1,496075329452817;1417,8645833333333;0,0043864767;0;0;Honest;1976,51
acc038485;2;2;2880,92;0,511234219505507;-381,7784722222222;0,0031120188;0;0;Honest;1472,8300000000002
acc044258;4;7;29262,29;1,12034904980128;149,60549603178666;0,11607063;0;0;Honest;32783,99
acc010700;2;5;2463,12;6,582230738937855;-334,95241666666664;0,002430855;0;0;Honest;16212,89
acc009123;1;3;13513,22;1,0892399522541982;-962,7502777777778;0,0055571217;0;0;Honest;14719,15
acc011892;9;10;188758,03999999998;0,92640986702289;331,69575;0,99259865;1;1;Mule;174867,32
acc014378;31;4;645480,8;0,010517183307122637;109,27492383509333;0,99259865;1;1;Boss;6788,639999999999
acc043374;1;2;2303,61;12,890433317995154;-152,14;0,0010607606;0;0;Honest;29694,66
acc019921;2;2;3752,26;0,40378490886849827;627,4251388888889;0,002511134;0;0;Honest;1515,1100000000001
acc037451;4;1;5876,53;0,15485472744165785;671,9399305555911;0,0026890645;0;0;Honest;910,01
acc032481;1;2;910,01;57,42710050328565;-1154,0169444444443;0,0011580709;0;0;Honest;52259,810000000005
acc002871;0;6;0,0;0,0;9999,0;0,0032509647;0;0;Honest;7466,87
acc043297;3;4;4021,19;4,123127424649358;1038,0095833332623;0,0014655036;0;0;Honest;16579,92
acc025932;0;2;0,0;0,0;9999,0;0,0023856927;0;0;Honest;7316,96
acc028920;4;4;67024,54000000001;0,7939751926719388;20,0375;0,99259865;1;1;Mule;53215,83
acc026737;22;1;506755,63;0,004181246014351216;302,63824494947556;0,99259865;1;1;Boss;2118,87
acc022879;1;3;983,08;5,1289200378398725;-363,37175925923555;0,0011605655;0;0;Honest;5042,1900000000005
acc028510;3;3;3401,2799999999997;2,110681535535047;-5,521296296391111;0,0013323906;0;0;Honest;7179,04
acc003671;0;3;0,0;0,0;9999,0;0,0023856927;0;0;Honest;13944,41
acc035486;2;6;12405,54;1,6574517050836115;72,56893518520889;0,021161124;0;0;Honest;20561,6
acc032006;2;3;26037,059999999998;0,7002688858615813;182,50162037034667;0,10702739;0;0;Honest;18232,95
acc034032;3;5;15538,06;0,9769276364439085;547,2178888888178;0,010759776;0;0;Honest;15179,57
acc022590;2;1;2603,91;0,7967679498602107;128,95263888888888;0,0022420818;0;0;Honest;2074,72
acc038646;3;2;3093,14;1,2964227405719089;249,6273611111111;0,002559484;0;0;Honest;4010,0299999999997
acc032864;17;1;353642,0;0,0013075652409056265;-914,3915196078223;0,9920724;1;1;Boss;462,41
acc037121;2;3;3475,3900000000003;5,057101340852851;798,4647222222934;0,0012492988;0;0;Honest;17575,45
acc022093;1;3;3072,14;1,9613202480347636;278,20842592597336;0,0018110806;0;0;Honest;6025,469999999999
acc030201;4;2;14559,09;0,47132927172696115;472,7159722222222;0,005628773;0;0;Honest;6862,13
acc035523;6;6;135516,58000000002;0,8452009455078524;382,3833333333333;0,99259865;1;1;Mule;114538,75
acc025279;4;2;11446,98;1,1213908634496927;-567,6992361111467;0,0058403346;0;0;Honest;12836,55
acc031154;1;4;9999,11;0,23963808815175736;-164,40118055551997;0,006565496;0;0;Honest;2396,17
acc038920;2;3;7389,379999999999;2,351129118912387;-108,79916666666666;0,0028414798;0;0;Honest;17373,41
acc001255;2;1;11221,689999999999;0,8488375201618293;-305,06708333333336;0,008154783;0;0;Honest;9525,4
acc005102;2;2;10211,42;0,3541629331053535;64,35458333333334;0,004789218;0;0;Honest;3616,51
acc008553;2;2;2078,05;8,177372164422584;1367,1102777777778;0,0012071852;0;0;Honest;16993,07
acc021528;7;7;151594,86000000002;0,799737616451005;116,71456349205334;0,99259865;1;1;Mule;121236,12
acc012409;18;1;330253,79000000004;0,007273951124862151;-207,59842592590223;0,99259865;1;1;Boss;2402,25
acc020438;0;4;0,0;0,0;9999,0;0,0031904017;0;0;Honest;40172,0
acc017517;1;2;2466,95;0,37698625028375005;-45,091944444444444;0,0023864633;0;0;Honest;930,01
acc043132;2;3;1418,8200000000002;2,1716555189839513;-427,48745370368;0,0011412215;0;0;Honest;3081,21
acc007369;3;3;3541,29;1,2172168412729787;760,2735185184712;0,0035558275;0;0;Honest;4310,53
acc001221;2;4;1532,12;3,7492640963886883;-71,95111111111112;0,0021985946;0;0;Honest;5744,360000000001
acc043518;2;0;1767,72;0,0;0,0;0,0029633767;0;0;Honest;0,0
acc026685;0;1;0,0;0,0;9999,0;0,0023856927;0;0;Honest;2303,26
acc027341;2;3;4118,97;1,237095106069949;554,5766666667378;0,005145986;0;0;Honest;5095,57
acc012396;0;3;0,0;0,0;9999,0;0,0023856927;0;0;Honest;3612,1
acc041013;2;2;6886,47;1,0602949547519196;-9,387361111111112;0,0053675175;0;0;Honest;7301,7
acc032827;4;2;14721,34;0,284921559503714;-178,87548611107553;0,0040127127;0;0;Honest;4194,43
acc028262;1;3;2388,39;1,817584994138335;-1273,7670370370133;0,0014029599;0;0;Honest;4341,12
acc021796;2;4;3003,0299999999997;6,896428286003516;-842,9196527778133;0,0014235392;0;0;Honest;20710,25
acc004118;5;8;104502,2;0,8602999879141313;5,406548611128889;0,99259865;1;1;Mule;89903,25
acc022830;20;3;394383,86;0,007811247452894055;-214,3581388888889;0,99259865;1;1;Boss;3080,63
acc034691;1;1;1780,46;1,2470752104781322;1514,1966666666667;0,0028396742;0;0;Honest;2220,38
acc029229;3;3;20161,51;1,5398809216765406;-523,2491666665956;0,017030193;0;0;Honest;31046,34
acc023738;1;2;1616,37;0,9793984087900123;-147,15152777777777;0,003334396;0;0;Honest;1583,08
acc017721;1;1;955,97;0,5917906232347957;57,62638888888889;0,0034986904;0;0;Honest;565,74
acc041414;2;2;11679,6;3,4745458110330736;-460,06111111111113;0,0039124684;0;0;Honest;40581,34
acc008466;14;16;345670,78;0,8619822056703141;-47,480059523840005;0,99259865;1;1;Mule;297962,07
acc030541;14;0;205601,62;0,0;0,0;0,99259865;1;1;Boss;0,0
acc021801;3;1;18925,88;0,07747640929964192;-199,9550925925689;0,0030806886;0;0;Honest;1466,31
acc041802;7;7;80444,19;0,9675729263265718;-123,71103174606222;0,99259865;1;1;Mule;77835,63
acc011626;3;3;4534,71;2,059507532989909;137,78287037034667;0,002200977;0;0;Honest;9339,29
acc041090;5;4;16814,91;0,375798398089316;118,27240277774223;0,017252225;0;0;Honest;6319,02
acc037605;1;5;101,74;80,66339066339066;70,69744444444444;0,003309724;0;0;Honest;8207,5
acc007931;6;2;11096,12;0,5189412885393375;-296,50444444451557;0,008295716;0;0;Honest;5758,24
acc020289;3;3;18045,43;0,9821051744928357;-616,3681481481956;0,021034338;0;0;Honest;17722,519999999997
acc013543;7;7;126788,93;0,9125332225350256;-89,36484126976;0,99259865;1;1;Mule;115699,12
acc007767;1;4;963,62;91,04023328455943;-439,1118750000356;0,0023393978;0;0;Honest;87729,1
acc025908;6;2;7631,12;0,04250091401928679;655,4843518518045;0,0039937007;0;0;Honest;324,33
acc023830;1;4;138,54;102,97675929267413;-989,5127777777777;0,002136697;0;0;Honest;14267,429999999998
acc020419;1;3;156,34;33,9974416373521;-498,9744444445156;0,0014662651;0;0;Honest;5315,5
acc008821;5;3;12524,18;1,1621286486391535;470,82359259256884;0,0051892255;0;0;Honest;14554,720000000001
acc017919;2;1;16069,77;0,09600629255658757;1242,8608333333334;0,043551274;0;0;Honest;1542,8
acc019865;8;4;50106,509999999995;0,8143119897370643;119,46121527779556;0,95610726;1;1;Mule;40802,340000000004
acc019807;0;2;0,0;0,0;9999,0;0,0023856927;0;0;Honest;8424,73
acc012600;3;2;12320,48;0,18997458704970338;794,5905555554845;0,0032300088;0;0;Honest;2340,58
acc009571;5;7;96043,7;1,0965865437726219;-108,26856349205333;0,9922396;1;1;Mule;105320,23999999999
acc022774;2;4;5158,48;2,702137641053874;239,5990277777778;0,002536888;0;0;Honest;13938,949999999999
acc013983;0;3;0,0;0,0;9999,0;0,0023856927;0;0;Honest;4050,99
acc037729;3;1;3651,55;1,6393185378304065;180,0050925925689;0,0020630145;0;0;Honest;5986,07
acc026119;4;4;15618,369999999999;2,4007886861505483;4,783958333297778;0,005128223;0;0;Honest;37496,43
acc020338;1;2;1600,62;0,9765154970230472;184,11305555555555;0,002312732;0;0;Honest;1563,04
acc000676;1;5;1572,97;21,223346768553956;398,12600000000003;0,0014545663;0;0;Honest;33383,9
acc040759;5;1;13079,119999999999;0,583591569164004;198,46344444444446;0,0056416253;0;0;Honest;7632,87
acc027187;4;7;25541,479999999996;3,0551459605528115;-246,9999206349511;0,007042953;0;0;Honest;78032,98000000001
acc023442;16;4;269702,87;0,01829390920853348;-714,7244270833778;0,9920724;1;1;Boss;4933,92
acc017588;2;1;2729,6400000000003;0,10002747605004303;-1181,4830555555557;0,0026682978;0;0;Honest;273,04
acc014181;4;1;4420,75;0,5609465340801129;-608,9231944444444;0,004567985;0;0;Honest;2479,81
acc039694;3;4;3539,88;7,244281601970682;366,5753009259378;0,0012766655;0;0;Honest;25643,96
acc034016;3;3;15924,359999999999;2,2338083076441957;-277,86861111118225;0,007993446;0;0;Honest;35571,99
acc029826;1;2;2414,77;0,937377318016548;-33,70430555555556;0,0018228847;0;0;Honest;2263,56
acc031683;3;2;15994,890000000001;1,7367167034492244;-87,82416666659556;0,009204237;0;0;Honest;27778,61
acc021379;2;2;1374,93;1,3099189782826886;-81,87513888888888;0,0019989174;0;0;Honest;1801,06
acc007714;4;2;13219,59;0,8200346455263395;-408,17125;0,0050224676;0;0;Honest;10840,529999999999
acc040851;1;2;1566,05;7,944382718414365;913,0969444444445;0,0012071852;0;0;Honest;12441,380000000001
acc009675;3;4;14524,69;1,1301018265437495;421,09962962965335;0,009150887;0;1;Mule;16414,39
acc024434;18;2;310024,73;0,00832033598350893;-415,00870370368;0,9920724;1;1;Boss;2579,51
acc002590;1;1;1339,28;14,04650971783557;-199,19166666666666;0,0010607606;0;0;Honest;18812,35
acc027776;7;7;79865,38;0,8992747672051685;44,59849206343111;0,99259865;1;1;Mule;71820,93
acc039361;23;2;462146,64;0,018656480578188764;-1191,0711714975998;0,9920724;1;1;Boss;8622,03
acc027143;1;2;2881,48;1,4438641119698488;246,3136111111111;0,0024159946;0;0;Honest;4160,48
acc026139;1;3;1400,08;5,509510102921956;355,51222222229336;0,0011154547;0;0;Honest;7713,81
acc026888;1;2;482,56;5,839090701867087;-318,9579166666667;0,0011605655;0;0;Honest;2817,77
acc006382;2;3;1546,6;1,3586489160163198;-524,5989351851377;0,0018495683;0;0;Honest;2101,3
acc001039;2;2;3274,59;12,61377267452513;131,17819444444444;0,0010607606;0;0;Honest;41305,06
acc021978;7;8;159866,72999999998;0,8728562301326718;259,1576636904533;0,99259865;1;1;Mule;139540,68
acc044827;22;0;543752,51;0,0;0,0;0,99259865;1;1;Boss;0,0
acc008853;3;2;5528,9;0,4430475446335716;-448,62041666659553;0,0030286354;0;0;Honest;2449,57
acc008722;3;3;4803,21;2,9742360333276423;-247,08842592597335;0,0027483474;0;0;Honest;14285,91
acc022868;2;2;2841,02;2,9925027190842757;-350,0763888888889;0,0013907102;0;0;Honest;8501,79
acc009640;6;3;13954,42;0,6883935782400283;-235,0689351852089;0,0078965295;0;0;Honest;9606,14
acc036457;1;2;1187,54;7,864266767715045;1193,7519444444445;0,0012071852;0;0;Honest;9339,210000000001
acc001199;5;8;86689,74;0,9448096228216138;-284,6344513888711;0,99259865;1;1;Mule;81905,31
acc001828;4;4;4661,8;1,0496523882354707;0,2954861111466667;0,004573999;0;0;Honest;4893,28
acc004238;1;1;1175,88;1,357533442753999;177,92805555555555;0,0023587886;0;0;Honest;1596,31
acc042602;1;3;2310,81;0,3133086956145437;438,3789814814578;0,0026878996;0;0;Honest;724,0
acc039414;3;4;1351,9299999999998;2,630479163276477;-996,5184259259022;0,0018418563;0;0;Honest;3556,25
acc032611;2;4;2025,01;2,5110616191445025;478,6218750000356;0,001462332;0;0;Honest;5084,950000000001
acc002298;10;10;155811,52;0,9856671711008806;-206,2505277777778;0,99259865;1;1;Mule;153578,31
acc013291;4;3;14356,09;0,1566887943104325;288,46287037034665;0,0019895989;0;0;Honest;2249,44
acc003189;4;1;4147,21;0,5547716301522466;303,75965277781336;0,0040050494;0;0;Honest;2300,76
acc017195;0;4;0,0;0,0;9999,0;0,0031904017;0;0;Honest;23088,88
acc031572;3;4;9637,359999999999;1,4095837349816394;591,25865740736;0,005857958;0;0;Honest;13584,68
acc043538;3;7;4398,36;5,822359192155275;-447,4744444443733;0,0023315893;0;0;Honest;25608,89
acc034007;3;4;18319,67;0,986992130866915;27,298171296355555;0,029676896;0;0;Honest;18081,38
acc012964;3;0;13129,64;0,0;0,0;0,0020571728;0;0;Honest;0,0
acc031647;3;1;2745,74;0,8399089501957571;-1580,3082407407644;0,0026062252;0;0;Honest;2306,18
acc028109;3;1;21088,83;0,027210600488220313;140,61166666666668;0,0027884117;0;0;Honest;573,84
acc042868;0;3;0,0;0,0;9999,0;0,0023856927;0;0;Honest;22472,4
acc036452;1;2;7007,54;1,082462486889141;374,68666666666667;0,0067043873;0;0;Honest;7585,41
acc040528;1;2;6591,87;0,42683119231539407;-1022,5106944444444;0,0033141405;0;0;Honest;2813,62
acc038007;3;2;14614,14;0,12172107170105685;713,5897685185423;0,0032300088;0;0;Honest;1778,85
acc027633;4;0;8666,140000000001;0,0;0,0;0,0028155232;0;0;Honest;0,0
acc027405;2;3;8577,31;1,696261769410492;643,9578703704177;0,003908761;0;0;Honest;14549,380000000001
acc017351;5;3;5753,01;0,6579952790012897;-591,1111111111823;0,0060374043;0;0;Honest;3785,46
acc039170;1;3;1389,4;1,0624581656962309;425,76074074069334;0,0022250526;0;0;Honest;1476,19
acc012921;2;1;1942,86;0,7106600029852744;-586,6052777777778;0,0063330433;0;0;Honest;1380,72
acc025592;4;3;13361,419999999998;1,7623106209440158;-436,5204398148267;0,0038522168;0;0;Honest;23546,989999999998
acc000244;2;4;21684,23;0,6759111686644309;-15,71263888888889;0,06716092;0;0;Honest;14656,619999999999
acc038653;3;1;18595,54;0,04696876403225503;-73,98194444444445;0,0027043046;0;0;Honest;873,41
acc002960;4;2;5411,8;0,41858823572889664;127,10659722225778;0,0027238387;0;0;Honest;2265,32
acc030510;3;2;29448,22;0,501705535443047;662,3741666667378;0,10208674;0;0;Honest;14774,34
acc020415;2;3;6633,46;0,867040930312491;-732,0540740740978;0,0038635323;0;0;Honest;5751,49
acc000693;3;2;3969,09;0,5061424504295683;-362,0066203703467;0,0078348555;0;0;Honest;2008,9299999999998
acc041249;6;6;168873,36;0,8468142135139484;184,3224074074311;0,99259865;1;1;Mule;143004,37
acc023429;1;1;2000,35;0,326306264872323;1439,9452777777778;0,0026878996;0;0;Honest;652,73
acc003318;1;1;652,73;2,055504488770414;-170,47083333333333;0,0011976406;0;0;Honest;1341,71
acc022807;2;4;4424,860000000001;0,9646272093869424;554,9759027778133;0,0038831763;0;0;Honest;4268,35
acc041243;5;0;6426,55;0,0;0,0;0,0026949944;0;0;Honest;0,0
acc009099;2;5;4291,57;2,3175800054991402;561,4670833333333;0,002911464;0;0;Honest;9946,08
acc039207;8;6;145889,32;0,7678448451302093;-135,28241898154667;0,99259865;1;1;Mule;112020,37000000001
acc020500;1;3;1022,01;16,555879532690167;-725,8341666665955;0,0010410447;0;0;Honest;16920,440000000002
acc024913;10;9;160007,02;0,897597561807128;126,47857098766222;0,99259865;1;1;Mule;143621,91999999998
acc007651;18;2;375278,21;0,003955438714242462;134,58876543210667;0,99259865;1;1;Boss;1484,39
acc035837;0;1;0,0;0,0;9999,0;0,0023856927;0;0;Honest;1853,18
acc025195;2;1;2947,49;0,4932417302798982;269,5443055555556;0,002511134;0;0;Honest;1453,83
acc005972;4;2;10770,69;1,334211332596767;-613,8226388888888;0,0052075866;0;0;Honest;14370,39
acc040548;5;3;24558,0;0,5282431271914948;667,9666296296533;0,015810465;0;0;Honest;12972,6
acc008517;6;1;30553,92;0,3916000331217621;-334,3651851852089;0,046940997;0;0;Honest;11964,92
acc004947;2;4;1151,3600000000001;7,7398143081720026;251,16687500003556;0,0014545663;0;0;Honest;8911,39
acc044956;4;1;7768,15;0,08761534262940002;652,8425694444089;0,0031664171;0;0;Honest;680,61
acc020351;3;1;3251,41;0,5486618154529406;-298,7858333332622;0,0029202434;0;0;Honest;1783,93
acc022536;2;2;1938,6000000000001;0,4986820453830321;-75,05541666666667;0,0026878996;0;0;Honest;966,75
acc031635;2;5;58007,54;0,8557079207792779;21,461111111111112;0,97788244;1;1;Mule;49637,520000000004
acc020034;1;1;213,72;3,2868572498011512;110,0663888888889;0,0014828474;0;0;Honest;702,5
acc038283;1;1;2329,77;0,2773180300285864;660,5569444444444;0,0028387844;0;0;Honest;646,09
acc036034;2;2;2967,84;4,371855046582542;128,2434722222222;0,0010607606;0;0;Honest;12975,01
acc001121;0;3;0,0;0,0;9999,0;0,0023856927;0;0;Honest;4146,96
acc033863;4;1;3322,81;0,5862731053743506;36,48229166663111;0,0035167495;0;0;Honest;1948,08
acc041390;2;4;11227,240000000002;1,0125596205660334;693,2508333333334;0,013195455;0;0;Honest;11368,26
acc020710;3;2;15176,470000000001;0,16336923977101409;-630,6567129629867;0,0017009904;0;0;Honest;2479,37
acc019043;1;1;1710,79;1,4122924947393034;-793,2941666666667;0,0019792384;0;0;Honest;2416,15
acc029511;4;1;14800,559999999998;0,6740112036225633;-1017,4677083333689;0,00952774;0;0;Honest;9975,75
acc028787;0;3;0,0;0,0;9999,0;0,0023856927;0;0;Honest;3270,59
acc025826;4;2;10120,9;2,1069765465753574;-747,2231944444444;0,00247567;0;0;Honest;21324,52
